Session Number,Session Date,Condition,Fact1-Speech,Fact2-Verb,Sustaining Mutual Understanding ,Dialogue Management,Information Pooling,Reaching Consensus,Task Division,Time Managment,Technical Coordination,Reciprocal Interaction,Individual Task Orientation,Collaboration,Task Performance,Task Understanding,Improvement Over Time,Code quality,Learning
1,08.Aug,2,Viz,NoExpl,0,0,-1,-1,0,-2,-2,0,-2,-8,-2,-1,0,,
2,10.Aug,2,Viz,NoExpl,1,1,-1,1,2,-1,-1,1,1,4,-1,0,1,3,37.5
4,11.Aug,1,NoViz,NoExpl,2,2,1,2,0,0,0,1,1,9,0,1,,3,66.66666667
5,11.Aug,1,NoViz,NoExpl,-1,-1,1,0,-2,-1,0,-1,0,-5,0,1,,2,20.83333333
6,11.Aug,1,NoViz,NoExpl,2,0,0,-1,-2,1,0,-1,-1,-2,0,1,,2,16.66666667
7,15.Aug,3,NoViz,Expl,2,2,1,2,0,0,2,1,1,11,0,1,,2,33.33333334
8,17.Aug,4,Viz,Expl,2,2,1,2,1,1,2,2,2,15,0,1,2,3,37.5
9,17.Aug,4,Viz,Expl,0,1,1,1,1,-2,-1,0,1,2,-2,-1,-1,1,29.16666667
11,18.Aug,3,NoViz,Expl,0,0,1,-1,-2,-1,0,-1,-1,-5,0,1,0,2,100
13,22.Aug,4,Viz,Expl,2,2,2,2,1,1,2,2,2,16,0,1,2,4,83.33333334
14,22.Aug,2,Viz,NoExpl,,,,,,,,,,,,,,2,66.66666667
15,22.Aug,1,NoViz,NoExpl,-2,-1,0,-1,-2,-1,0,-1,0,-8,0,1,1,3,31.25
16,22.Aug,2,Viz,NoExpl,1,1,1,1,-2,0,0,-1,1,2,0,-1,0,2,43.75
17,24.Aug,1,NoViz,NoExpl,2,2,1,1,1,-2,-1,0,1,5,0,1,1,1,60.41666667
19,24.Aug,1,NoViz,NoExpl,1,1,1,1,-1,-1,-1,0,0,1,0,0,1,2,31.25
20,25.Aug,4,Viz,Expl,,,,,,,,,,,,,,2,60.41666667
21,25.Aug,4,Viz,Expl,2,2,0,2,0,-1,-1,0,1,5,0,0,1,2,56.25
22,25.Aug,2,Viz,NoExpl,2,2,-1,2,0,-1,-1,1,0,4,0,0,1,1,64.58333334
23,25.Aug,3,NoViz,Expl,2,2,1,2,1,1,2,1,1,13,0,1,1,3,64.58333334
24,29.Aug,3,NoViz,Expl,2,1,1,2,1,1,2,0,1,11,0,1,2,4,50
25,29.Aug,4,Viz,Expl,1,0,0,1,0,-2,1,0,0,1,-1,0,1,2,29.16666667
27,29.Aug,2,Viz,NoExpl,2,2,1,2,0,0,2,2,1,12,0,1,1,2,52.08333333
28,31.Aug,4,Viz,Expl,2,2,1,2,1,-2,2,0,1,9,0,-1,0,3,68.75
29,31.Aug,4,Viz,Expl,2,2,1,2,1,-1,-1,0,-1,5,0,0,1,2,35.41666667
31,06.Sep,1,NoViz,NoExpl,1,2,1,1,1,0,2,1,1,10,0,0,1,2,45.83333333
32,08.Sep,2,Viz,NoExpl,0,1,0,0,0,0,1,0,0,2,0,0,0,2,54.16666667
34,15.Sep,3,NoViz,Expl,1,1,1,0,0,-1,1,1,0,4,-1,0,1,2,37.5
35,22.Sep,4,Viz,Expl,2,1,1,2,1,0,2,0,1,10,-1,0,1,3,81.25
37,24.Sep,3,NoViz,Expl,1,2,0,2,1,0,-1,1,2,8,0,0,1,2,50
38,24.Sep,1,NoViz,NoExpl,1,2,1,1,0,-1,2,0,1,7,0,1,2,3,39.58333333
39,24.Sep,2,Viz,NoExpl,0,0,0,1,0,-1,-1,-1,0,-2,0,-1,0,2,56.25
