Start_time,End_time,Start_frame,End_frame
1131.38,1133.26,0,7
1133.57,1134.58,14,40
1139.44,1140.27,161,182
1140.27,1143.07,182,252
1143.46,1146.37,262,334
1147.9,1150.21,373,430
1150.24,1151.46,431,462
1157.97,1159.1,624,653
1192.1,1192.8,1478,1495
1201.2,1202.5,1705,1738
1294.58,1295.84,4040,4071
1296.72,1297.84,4093,4121
1299.5,1300.86,4163,4197
1302.91,1305.47,4248,4312
1330.46,1332.05,4937,4976
1332.9,1334.29,4998,5032
1335.5,1336.96,5063,5099
1336.98,1339.79,5100,5170
1385.62,1387.01,6316,6350
1387.68,1389.38,6367,6410
1406.4,1409.46,6835,6912
1432.54,1433.34,7489,7509
1488.8,1489.71,8895,8918
1499.73,1500.8,9168,9195
1501.04,1502.24,9201,9231
1526.53,1527.2,9838,9855
1527.54,1528.58,9864,9890
1534.91,1536.03,10048,10076
1539.89,1541.63,10172,10216
1542.35,1543.46,10234,10262
1567.18,1567.92,10855,10873
1577.63,1578.42,11116,11136
1622.7,1623.65,12243,12266
1690.18,1702.42,13930,14236
1703.63,1706.21,14266,14330
1707.15,1713.74,14354,14519
1743.71,1747.65,15268,15366
1756.05,1757.65,15576,15616
1759.28,1762.13,15657,15728
1763.89,1764.58,15772,15790
1780.91,1793.74,16198,16519
1816.06,1825.1,17077,17303
1826.9,1828.98,17348,17400
1838.27,1847.79,17632,17870
1860.13,1861.76,18178,18219
1870.98,1878.67,18450,18642
1898.59,1902.86,19140,19247
1911.47,1921.42,19462,19711
1929.47,1937.1,19912,20103
1948.77,1955.74,20394,20569
1985.1,1993.58,21303,21515
2001.42,2002.42,21711,21736
2003.25,2005.41,21756,21810
2007.15,2007.98,21854,21875
2012.72,2014.9,21993,22048
2015.15,2016.99,22054,22100
2027.28,2028.72,22357,22393
2030.72,2032.72,22443,22493
2060.24,2065.31,23181,23308
2072.67,2078.34,23492,23634
2079.5,2082.83,23663,23746
2101.58,2111.66,24215,24467
2113.79,2118.7,24520,24643
2122,2126.62,24725,24841
2128.21,2134.11,24880,25028
2140.9,2141.63,25198,25216
2146.5,2154.54,25338,25539
2156.35,2158.78,25584,25645
2167.33,2170.24,25858,25931
2177.73,2186.82,26118,26346
2199.47,2201.62,26662,26716
2207.79,2216.37,26870,27084
2219.33,2220.53,27158,27188
2222.59,2223.46,27240,27262
2223.62,2225.62,27266,27316
2227.71,2229.1,27368,27403
2231.34,2232.4,27459,27485
2249.3,2251.94,27908,27974
2254.86,2255.68,28047,28067
2260.02,2262.42,28176,28236
2264.06,2264.8,28277,28295
2282.66,2283.63,28742,28766
2284.37,2285.04,28784,28801
2285.17,2286.37,28804,28834
2287.46,2290.03,28862,28926
2312.42,2313.15,29486,29504
2333.22,2335.97,30006,30074
2393.18,2395.31,31505,31558
2406.64,2414.14,31841,32029
2432.82,2433.58,32496,32515
2434.27,2435.78,32532,32570
2441.14,2442.62,32704,32741
2445.17,2446.03,32804,32826
2446.13,2448.48,32828,32887
2452.21,2454.32,32980,33033
2460.91,2463.33,33198,33258
2487.41,2491.81,33860,33970
2491.81,2493.55,33970,34014
2496.85,2502.46,34096,34237
2508.69,2513.62,34392,34516
2520.32,2522.06,34683,34727
2530.93,2533.22,34948,35006
2538.82,2540.35,35146,35184
2542.42,2543.15,35236,35254
2544.72,2547.6,35293,35365
2554.62,2557.63,35541,35616
2565.7,2570.14,35818,35929
2574.62,2575.71,36041,36068
2578.91,2580.22,36148,36181
2582.42,2585.74,36236,36319
2598.51,2601.07,36638,36702
2602.16,2604.38,36729,36785
2611.04,2614.75,36951,37044
2622.02,2624.26,37226,37282
2630.77,2631.89,37444,37472
2638.91,2641.7,37648,37718
2646,2649.25,37825,37906
2649.5,2652.34,37913,37984
2653.52,2654.21,38013,38030
2662.42,2664.19,38236,38280
2667.1,2668.27,38353,38382
2669.39,2674.45,38410,38536
2723.92,2724.83,39773,39796
2727.55,2728.37,39864,39884
2731.73,2732.46,39968,39987
2741.62,2742.38,40216,40235
2751.98,2753.73,40475,40518
2764.16,2772.96,40779,40999
2775.73,2779.23,41068,41156
2781.66,2782.58,41217,41240
2782.77,2784.74,41244,41294
2785.1,2786.13,41303,41328
2787.39,2789.2,41360,41405
2809.97,2811.94,41924,41974
2815.18,2817.31,42055,42108
2839.1,2840.78,42653,42695
2876.3,2880.69,43583,43692
2903.33,2908.78,44258,44395
2920.48,2922.08,44687,44727
2927.14,2929.41,44854,44910
2936,2936.7,45075,45093
2938.78,2941.46,45145,45212
2943.94,2945.58,45274,45315
2963.79,2965.38,45770,45810
